name,twitter_handle,twitter_url,twitter_bio,pinned_tweet_url,current_description
Adim,incention_io,https://x.com/incention_io,Redefining how modern franchises are built. By incentivizing creative collaboration and shifting the focus back towards creating.,https://x.com/incention_io/status/1873416697966928349,Part of a16z's crypto portfolio.
Alchemy,Alchemy,https://x.com/Alchemy,"Your complete developer platform to build rollups, apps & everything in between.",https://x.com/Alchemy/status/1880255852944232949,"Your complete developer platform to build rollups, apps & everything in between."
Aleo,AleoHQ,https://x.com/AleoHQ,Aleo is a Layer-1 blockchain that's zero-knowledge by design.,https://x.com/AleoHQ/status/1838276629791223970,Aleo is a Layer-1 blockchain that's zero-knowledge by design.
Amino Chain,Amino_Chain,https://x.com/Amino_Chain,Building Trust in Science and Healthcare.,https://x.com/DeSciWorld/status/1866452910953156637,Building Trust in Science and Healthcare.
AminoChain,Amino_Chain,https://x.com/Amino_Chain,Building Trust in Science and Healthcare | a16z CSX,https://x.com/Amino_Chain/status/1838930217890394440,Building Trust in Science and Healthcare | a16z CSX
Anchorage Digital,Anchorage,https://x.com/Anchorage,The trusted crypto platform for institutions.,https://x.com/Anchorage/status/1868657585722892674,The trusted crypto platform for institutions.
Angle,AngleProtocol,https://x.com/AngleProtocol,Decentralized stablecoin protocol. Building the future of money.,https://x.com/AngleProtocol/status/1771947890087297024,Part of a16z's crypto portfolio.
Aptos,Aptos,https://x.com/Aptos,Aptos is a decentralized platform for building decentralized applications (dApps) on the Aptos blockchain.,https://x.com/Aptos/status/1873416697966928349,Aptos is a decentralized platform for building decentralized applications (dApps) on the Aptos blockchain.
Arpeggi,ArpeggiLabs,https://x.com/ArpeggiLabs,Building tools for the next generation of music creators.,https://x.com/ArpeggiLabs/status/1770115675876524246,Part of a16z's crypto portfolio.
Arweave,ArweaveTeam,https://x.com/ArweaveTeam,The permanent storage network. Bringing history and knowledge permanent preservation to the web.,https://x.com/ArweaveTeam/status/1772943657587323192,Part of a16z's crypto portfolio.
Autograph,Autograph,https://x.com/Autograph,The web3 company empowering the next generation of digital identity and ownership.,https://x.com/Autograph/status/1771567845183267974,Part of a16z's crypto portfolio.
Avalanche,Avalanche,https://x.com/Avalanche,Avalanche is a high-performance blockchain platform designed for builders who need to scale.,https://x.com/Avalanche/status/1868657585722892674,Avalanche is a high-performance blockchain platform designed for builders who need to scale.
Azra Games,AzraGames,https://x.com/AzraGames,Azra Games is a blockchain-based platform for creating and playing games.,https://x.com/AzraGames/status/1771567845183267974,Azra Games is a blockchain-based platform for creating and playing games.
Aztec,Aztec,https://x.com/Aztec,Aztec is a decentralized protocol for secure and efficient smart contract execution.,https://x.com/Aztec/status/1772943657587323192,Aztec is a decentralized protocol for secure and efficient smart contract execution.
Bastion,Bastion,https://x.com/Bastion,Bastion is a decentralized platform for secure and efficient smart contract execution.,https://x.com/Bastion/status/1772974670875095373,Bastion is a decentralized platform for secure and efficient smart contract execution.
Battlebound,Battlebound,https://x.com/Battlebound,Battlebound is a blockchain-based platform for creating and playing games.,https://x.com/Battlebound/status/1772943657587323192,Battlebound is a blockchain-based platform for creating and playing games.
Bitski,bitski,https://x.com/bitski,Building the future of digital commerce and identity.,https://x.com/bitski/status/1772974670875095373,Building the future of digital commerce and identity.
Blackbird,blackbirdxyz,https://x.com/blackbirdxyz,Provides a payments and loyalty platform that creates deeper connections between independent restaurants and their guests.,https://x.com/blackbird_xyz/status/1818298503191261504,Part of a16z's crypto portfolio.
CCP Games,CCPGames,https://x.com/CCPGames,We create virtual worlds,https://x.com/CCPGames/status/1856366669402165596,We create virtual worlds
Celo,Celo,https://x.com/Celo,Mobile-first. EVM compatible. Carbon negative. Celo is a blockchain built for the real world. 🌱,https://x.com/Celo/status/1868666390510711087,Mobile-first. EVM compatible. Carbon negative. Celo is a blockchain built for the real world. 🌱
Co:Create,cocreateink,https://x.com/cocreateink,Connecting clients with the world's best tattoo artists.,https://x.com/cocreateink/status/1774142057218445607,Connecting clients with the world's best tattoo artists.
Coinbase,coinbase,https://x.com/coinbase,"Building the cryptoeconomy – a more fair, accessible, efficient, and transparent financial system enabled by crypto.",https://x.com/coinbase/status/1747364391930409301,"Building the cryptoeconomy – a more fair, accessible, efficient, and transparent financial system enabled by crypto."
CoinSwitch,CoinSwitch,https://x.com/CoinSwitch,Building a decentralized payments network for global commerce.,https://x.com/CoinSwitch/status/1838276629791223970,Building a decentralized payments network for global commerce.
CoinSwitch Kuber,CoinSwitch,https://x.com/CoinSwitch,Join the CoinSwitch Cares program using the link in bio.,https://x.com/CoinSwitch/status/1876492480931401823,Join the CoinSwitch Cares program using the link in bio.
Compound,@compoundfinance,https://x.com/compoundfinance,Building infrastructure for the future of finance.,https://x.com/immunefi/status/1867111952520187953,Building infrastructure for the future of finance.
